序号,类别,名称,控件ID,行,列,x_mm,y_mm,形状,半径_mm,宽度_mm,高度_mm,备注
560,界面控件,试剂_S16_Z-End针尖最大下降深度,svg-reagent-s16-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
561,界面控件,试剂_S16_Z-Dispens吸液/排液高度,svg-reagent-s16-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
562,界面控件,试剂_S16_通道移液面板,svg-reagent-s16-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
563,界面控件,试剂_S16_移液孔位,svg-reagent-s16-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
564,界面控件,试剂_S16_移液液量,svg-reagent-s16-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
565,界面控件,试剂_S16_控制针,svg-reagent-s16-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
566,界面控件,试剂_S26_条码ROI面板,svg-reagent-s26-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
567,界面控件,试剂_S26_ROI Left,svg-reagent-s26-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
568,界面控件,试剂_S26_ROI Top,svg-reagent-s26-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
569,界面控件,试剂_S26_ROI Width,svg-reagent-s26-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
570,界面控件,试剂_S26_ROI Height,svg-reagent-s26-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
571,界面控件,试剂_S26_孔位Z参数面板,svg-reagent-s26-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
572,界面控件,试剂_S26_液体类型,svg-reagent-s26-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
573,界面控件,试剂_S26_Z-Travel安全移动高度,svg-reagent-s26-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
574,界面控件,试剂_S26_Z-Start探液高度,svg-reagent-s26-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
575,界面控件,试剂_S26_Z-End针尖最大下降深度,svg-reagent-s26-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
576,界面控件,试剂_S26_Z-Dispens吸液/排液高度,svg-reagent-s26-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
577,界面控件,试剂_S26_通道移液面板,svg-reagent-s26-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
578,界面控件,试剂_S26_移液孔位,svg-reagent-s26-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
579,界面控件,试剂_S26_移液液量,svg-reagent-s26-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
580,界面控件,试剂_S26_控制针,svg-reagent-s26-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
581,界面控件,试剂_S36_条码ROI面板,svg-reagent-s36-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
582,界面控件,试剂_S36_ROI Left,svg-reagent-s36-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
583,界面控件,试剂_S36_ROI Top,svg-reagent-s36-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
584,界面控件,试剂_S36_ROI Width,svg-reagent-s36-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
585,界面控件,试剂_S36_ROI Height,svg-reagent-s36-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
586,界面控件,试剂_S36_孔位Z参数面板,svg-reagent-s36-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
587,界面控件,试剂_S36_液体类型,svg-reagent-s36-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
588,界面控件,试剂_S36_Z-Travel安全移动高度,svg-reagent-s36-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
589,界面控件,试剂_S36_Z-Start探液高度,svg-reagent-s36-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
590,界面控件,试剂_S36_Z-End针尖最大下降深度,svg-reagent-s36-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
591,界面控件,试剂_S36_Z-Dispens吸液/排液高度,svg-reagent-s36-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
592,界面控件,试剂_S36_通道移液面板,svg-reagent-s36-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
593,界面控件,试剂_S36_移液孔位,svg-reagent-s36-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
594,界面控件,试剂_S36_移液液量,svg-reagent-s36-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
595,界面控件,试剂_S36_控制针,svg-reagent-s36-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
596,界面控件,试剂_S46_条码ROI面板,svg-reagent-s46-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
597,界面控件,试剂_S46_ROI Left,svg-reagent-s46-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
598,界面控件,试剂_S46_ROI Top,svg-reagent-s46-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
599,界面控件,试剂_S46_ROI Width,svg-reagent-s46-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
600,界面控件,试剂_S46_ROI Height,svg-reagent-s46-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
601,界面控件,试剂_S46_孔位Z参数面板,svg-reagent-s46-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
602,界面控件,试剂_S46_液体类型,svg-reagent-s46-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
603,界面控件,试剂_S46_Z-Travel安全移动高度,svg-reagent-s46-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
604,界面控件,试剂_S46_Z-Start探液高度,svg-reagent-s46-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
605,界面控件,试剂_S46_Z-End针尖最大下降深度,svg-reagent-s46-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
606,界面控件,试剂_S46_Z-Dispens吸液/排液高度,svg-reagent-s46-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
607,界面控件,试剂_S46_通道移液面板,svg-reagent-s46-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
608,界面控件,试剂_S46_移液孔位,svg-reagent-s46-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
609,界面控件,试剂_S46_移液液量,svg-reagent-s46-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
610,界面控件,试剂_S46_控制针,svg-reagent-s46-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
611,界面控件,试剂_S56_条码ROI面板,svg-reagent-s56-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
612,界面控件,试剂_S56_ROI Left,svg-reagent-s56-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
613,界面控件,试剂_S56_ROI Top,svg-reagent-s56-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
614,界面控件,试剂_S56_ROI Width,svg-reagent-s56-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
615,界面控件,试剂_S56_ROI Height,svg-reagent-s56-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
616,界面控件,试剂_S56_孔位Z参数面板,svg-reagent-s56-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
617,界面控件,试剂_S56_液体类型,svg-reagent-s56-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
618,界面控件,试剂_S56_Z-Travel安全移动高度,svg-reagent-s56-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
619,界面控件,试剂_S56_Z-Start探液高度,svg-reagent-s56-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
620,界面控件,试剂_S56_Z-End针尖最大下降深度,svg-reagent-s56-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
621,界面控件,试剂_S56_Z-Dispens吸液/排液高度,svg-reagent-s56-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
622,界面控件,试剂_S56_通道移液面板,svg-reagent-s56-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
623,界面控件,试剂_S56_移液孔位,svg-reagent-s56-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
624,界面控件,试剂_S56_移液液量,svg-reagent-s56-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
625,界面控件,试剂_S56_控制针,svg-reagent-s56-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
626,界面控件,试剂_S17_条码ROI面板,svg-reagent-s17-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
627,界面控件,试剂_S17_ROI Left,svg-reagent-s17-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
628,界面控件,试剂_S17_ROI Top,svg-reagent-s17-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
629,界面控件,试剂_S17_ROI Width,svg-reagent-s17-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
630,界面控件,试剂_S17_ROI Height,svg-reagent-s17-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
631,界面控件,试剂_S17_孔位Z参数面板,svg-reagent-s17-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
632,界面控件,试剂_S17_液体类型,svg-reagent-s17-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
633,界面控件,试剂_S17_Z-Travel安全移动高度,svg-reagent-s17-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
634,界面控件,试剂_S17_Z-Start探液高度,svg-reagent-s17-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
635,界面控件,试剂_S17_Z-End针尖最大下降深度,svg-reagent-s17-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
636,界面控件,试剂_S17_Z-Dispens吸液/排液高度,svg-reagent-s17-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
637,界面控件,试剂_S17_通道移液面板,svg-reagent-s17-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
638,界面控件,试剂_S17_移液孔位,svg-reagent-s17-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
639,界面控件,试剂_S17_移液液量,svg-reagent-s17-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
640,界面控件,试剂_S17_控制针,svg-reagent-s17-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
641,界面控件,试剂_S27_条码ROI面板,svg-reagent-s27-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
642,界面控件,试剂_S27_ROI Left,svg-reagent-s27-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
643,界面控件,试剂_S27_ROI Top,svg-reagent-s27-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
644,界面控件,试剂_S27_ROI Width,svg-reagent-s27-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
645,界面控件,试剂_S27_ROI Height,svg-reagent-s27-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
646,界面控件,试剂_S27_孔位Z参数面板,svg-reagent-s27-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
647,界面控件,试剂_S27_液体类型,svg-reagent-s27-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
648,界面控件,试剂_S27_Z-Travel安全移动高度,svg-reagent-s27-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
649,界面控件,试剂_S27_Z-Start探液高度,svg-reagent-s27-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
650,界面控件,试剂_S27_Z-End针尖最大下降深度,svg-reagent-s27-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
651,界面控件,试剂_S27_Z-Dispens吸液/排液高度,svg-reagent-s27-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
652,界面控件,试剂_S27_通道移液面板,svg-reagent-s27-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
653,界面控件,试剂_S27_移液孔位,svg-reagent-s27-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
654,界面控件,试剂_S27_移液液量,svg-reagent-s27-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
655,界面控件,试剂_S27_控制针,svg-reagent-s27-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
656,界面控件,试剂_S37_条码ROI面板,svg-reagent-s37-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
657,界面控件,试剂_S37_ROI Left,svg-reagent-s37-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
658,界面控件,试剂_S37_ROI Top,svg-reagent-s37-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
659,界面控件,试剂_S37_ROI Width,svg-reagent-s37-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
660,界面控件,试剂_S37_ROI Height,svg-reagent-s37-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
661,界面控件,试剂_S37_孔位Z参数面板,svg-reagent-s37-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
662,界面控件,试剂_S37_液体类型,svg-reagent-s37-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
663,界面控件,试剂_S37_Z-Travel安全移动高度,svg-reagent-s37-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
664,界面控件,试剂_S37_Z-Start探液高度,svg-reagent-s37-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
665,界面控件,试剂_S37_Z-End针尖最大下降深度,svg-reagent-s37-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
666,界面控件,试剂_S37_Z-Dispens吸液/排液高度,svg-reagent-s37-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
667,界面控件,试剂_S37_通道移液面板,svg-reagent-s37-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
668,界面控件,试剂_S37_移液孔位,svg-reagent-s37-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
669,界面控件,试剂_S37_移液液量,svg-reagent-s37-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
670,界面控件,试剂_S37_控制针,svg-reagent-s37-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
671,界面控件,试剂_S47_条码ROI面板,svg-reagent-s47-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
672,界面控件,试剂_S47_ROI Left,svg-reagent-s47-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
673,界面控件,试剂_S47_ROI Top,svg-reagent-s47-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
674,界面控件,试剂_S47_ROI Width,svg-reagent-s47-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
675,界面控件,试剂_S47_ROI Height,svg-reagent-s47-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
676,界面控件,试剂_S47_孔位Z参数面板,svg-reagent-s47-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
677,界面控件,试剂_S47_液体类型,svg-reagent-s47-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
678,界面控件,试剂_S47_Z-Travel安全移动高度,svg-reagent-s47-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
679,界面控件,试剂_S47_Z-Start探液高度,svg-reagent-s47-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
680,界面控件,试剂_S47_Z-End针尖最大下降深度,svg-reagent-s47-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
681,界面控件,试剂_S47_Z-Dispens吸液/排液高度,svg-reagent-s47-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
682,界面控件,试剂_S47_通道移液面板,svg-reagent-s47-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
683,界面控件,试剂_S47_移液孔位,svg-reagent-s47-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
684,界面控件,试剂_S47_移液液量,svg-reagent-s47-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
685,界面控件,试剂_S47_控制针,svg-reagent-s47-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
686,界面控件,试剂_S57_条码ROI面板,svg-reagent-s57-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
687,界面控件,试剂_S57_ROI Left,svg-reagent-s57-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
688,界面控件,试剂_S57_ROI Top,svg-reagent-s57-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
689,界面控件,试剂_S57_ROI Width,svg-reagent-s57-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
690,界面控件,试剂_S57_ROI Height,svg-reagent-s57-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
691,界面控件,试剂_S57_孔位Z参数面板,svg-reagent-s57-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
692,界面控件,试剂_S57_液体类型,svg-reagent-s57-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
693,界面控件,试剂_S57_Z-Travel安全移动高度,svg-reagent-s57-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
694,界面控件,试剂_S57_Z-Start探液高度,svg-reagent-s57-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
695,界面控件,试剂_S57_Z-End针尖最大下降深度,svg-reagent-s57-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
696,界面控件,试剂_S57_Z-Dispens吸液/排液高度,svg-reagent-s57-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
697,界面控件,试剂_S57_通道移液面板,svg-reagent-s57-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
698,界面控件,试剂_S57_移液孔位,svg-reagent-s57-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
699,界面控件,试剂_S57_移液液量,svg-reagent-s57-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
700,界面控件,试剂_S57_控制针,svg-reagent-s57-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
701,界面控件,试剂_S18_条码ROI面板,svg-reagent-s18-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
702,界面控件,试剂_S18_ROI Left,svg-reagent-s18-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
703,界面控件,试剂_S18_ROI Top,svg-reagent-s18-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
704,界面控件,试剂_S18_ROI Width,svg-reagent-s18-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
705,界面控件,试剂_S18_ROI Height,svg-reagent-s18-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
706,界面控件,试剂_S18_孔位Z参数面板,svg-reagent-s18-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
707,界面控件,试剂_S18_液体类型,svg-reagent-s18-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
708,界面控件,试剂_S18_Z-Travel安全移动高度,svg-reagent-s18-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
709,界面控件,试剂_S18_Z-Start探液高度,svg-reagent-s18-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
710,界面控件,试剂_S18_Z-End针尖最大下降深度,svg-reagent-s18-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
711,界面控件,试剂_S18_Z-Dispens吸液/排液高度,svg-reagent-s18-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
712,界面控件,试剂_S18_通道移液面板,svg-reagent-s18-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
713,界面控件,试剂_S18_移液孔位,svg-reagent-s18-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
714,界面控件,试剂_S18_移液液量,svg-reagent-s18-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
715,界面控件,试剂_S18_控制针,svg-reagent-s18-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
716,界面控件,试剂_S28_条码ROI面板,svg-reagent-s28-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
717,界面控件,试剂_S28_ROI Left,svg-reagent-s28-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
718,界面控件,试剂_S28_ROI Top,svg-reagent-s28-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
719,界面控件,试剂_S28_ROI Width,svg-reagent-s28-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
720,界面控件,试剂_S28_ROI Height,svg-reagent-s28-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
721,界面控件,试剂_S28_孔位Z参数面板,svg-reagent-s28-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
722,界面控件,试剂_S28_液体类型,svg-reagent-s28-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
723,界面控件,试剂_S28_Z-Travel安全移动高度,svg-reagent-s28-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
724,界面控件,试剂_S28_Z-Start探液高度,svg-reagent-s28-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
725,界面控件,试剂_S28_Z-End针尖最大下降深度,svg-reagent-s28-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
726,界面控件,试剂_S28_Z-Dispens吸液/排液高度,svg-reagent-s28-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
727,界面控件,试剂_S28_通道移液面板,svg-reagent-s28-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
728,界面控件,试剂_S28_移液孔位,svg-reagent-s28-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
729,界面控件,试剂_S28_移液液量,svg-reagent-s28-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
730,界面控件,试剂_S28_控制针,svg-reagent-s28-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
731,界面控件,试剂_S38_条码ROI面板,svg-reagent-s38-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
732,界面控件,试剂_S38_ROI Left,svg-reagent-s38-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
733,界面控件,试剂_S38_ROI Top,svg-reagent-s38-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
734,界面控件,试剂_S38_ROI Width,svg-reagent-s38-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
735,界面控件,试剂_S38_ROI Height,svg-reagent-s38-barcode-roi-height,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
736,界面控件,试剂_S38_孔位Z参数面板,svg-reagent-s38-well-engineering-card,,,,,html-control,,,,选中对象后显示；用于设置液体类型、Z-Travel、Z-Start、Z-End、Z-Dispens。
737,界面控件,试剂_S38_液体类型,svg-reagent-s38-liquid-class,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
738,界面控件,试剂_S38_Z-Travel安全移动高度,svg-reagent-s38-z-travel,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
739,界面控件,试剂_S38_Z-Start探液高度,svg-reagent-s38-z-start,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
740,界面控件,试剂_S38_Z-End针尖最大下降深度,svg-reagent-s38-z-end,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
741,界面控件,试剂_S38_Z-Dispens吸液/排液高度,svg-reagent-s38-z-dispens,,,,,html-control,,,,选中对象后显示；孔位移位工程参数。
742,界面控件,试剂_S38_通道移液面板,svg-reagent-s38-pipette-card,,,,,html-control,,,,选中对象后显示；基于当前孔位执行吸液、打液、液面探测和清空通道。
743,界面控件,试剂_S38_移液孔位,svg-reagent-s38-pipette-well,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
744,界面控件,试剂_S38_移液液量,svg-reagent-s38-pipette-volume,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
745,界面控件,试剂_S38_控制针,svg-reagent-s38-pipette-needle,,,,,html-control,,,,选中对象后显示；通道移液测试参数。
746,界面控件,试剂_S48_条码ROI面板,svg-reagent-s48-barcode-roi-card,,,,,html-control,,,,选中对象后显示；用于设置该玻片/试剂对象的条码扫描 ROI。
747,界面控件,试剂_S48_ROI Left,svg-reagent-s48-barcode-roi-left,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
748,界面控件,试剂_S48_ROI Top,svg-reagent-s48-barcode-roi-top,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
749,界面控件,试剂_S48_ROI Width,svg-reagent-s48-barcode-roi-width,,,,,html-control,,,,选中对象后显示；条码 ROI 参数输入框。
